t,event_title,city,target_date,market_id,slug,question,outcomes,prices,volume,neg_risk,fc_gfs_c,fc_ecmwf_c,fc_icon_c
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967367,highest-temperature-in-london-on-august-31-2026-16corbelow,Will the highest temperature in London be 16°C or below on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",583.395579,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967368,highest-temperature-in-london-on-august-31-2026-17c,Will the highest temperature in London be 17°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",304.98900000000003,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967369,highest-temperature-in-london-on-august-31-2026-18c,Will the highest temperature in London be 18°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",458.018531,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967370,highest-temperature-in-london-on-august-31-2026-19c,Will the highest temperature in London be 19°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",1758.944941,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967371,highest-temperature-in-london-on-august-31-2026-20c,Will the highest temperature in London be 20°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",2273.712152,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967372,highest-temperature-in-london-on-august-31-2026-21c,Will the highest temperature in London be 21°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",8845.049972000003,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967373,highest-temperature-in-london-on-august-31-2026-22c,Will the highest temperature in London be 22°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",17884.766144,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967374,highest-temperature-in-london-on-august-31-2026-23c,Will the highest temperature in London be 23°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",13561.831331,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967375,highest-temperature-in-london-on-august-31-2026-24c,Will the highest temperature in London be 24°C on August 31?,"[""Yes"", ""No""]","[""0.96"", ""0.04""]",12681.574401000002,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967376,highest-temperature-in-london-on-august-31-2026-25c,Will the highest temperature in London be 25°C on August 31?,"[""Yes"", ""No""]","[""0.041"", ""0.959""]",6809.659087000001,1,21.0,22.0,22.3
1788187733.7,Highest temperature in London on August 31?,London,2026-08-31,3967377,highest-temperature-in-london-on-august-31-2026-26corhigher,Will the highest temperature in London be 26°C or higher on August 31?,"[""Yes"", ""No""]","[""0.005"", ""0.995""]",3909.497021,1,21.0,22.0,22.3
1788187733.7,Highest temperature in Paris on August 31?,Paris,2026-08-31,3967378,highest-temperature-in-paris-on-august-31-2026-19corbelow,Will the highest temperature in Paris be 19°C or below on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",241.97799999999998,1,23.3,23.0,23.4
1788187733.7,Highest temperature in Paris on August 31?,Paris,2026-08-31,3967379,highest-temperature-in-paris-on-august-31-2026-20c,Will the highest temperature in Paris be 20°C on August 31?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",1335.6047,1,23.3,23.0,23.4
